,apt_names,apt_address,apt_price,apt_type,apt_link
0,Platform Apartments,"747 Hampden Ave, Saint Paul, MN 55114","$1,245 - 2,225",Studio - 2 Beds,https://www.apartments.com/platform-apartments-saint-paul-mn/1p6mqy6/
1,Ratio,"909 Gould Ave NE, Columbia Heights, MN 55421","$950 - 2,763",Studio - 4 Beds,https://www.apartments.com/platform-apartments-saint-paul-mn/1p6mqy6/
2,Moda on Raymond,"760 Raymond Ave, Saint Paul, MN 55114","$1,094 - 2,875",Studio - 2 Beds,https://www.apartments.com/platform-apartments-saint-paul-mn/1p6mqy6/
3,The Collection at Highland Bridge,"800 Cretin Ave S, Saint Paul, MN 55116","$1,355 - 6,645",Studio - 2 Beds,https://www.apartments.com/platform-apartments-saint-paul-mn/1p6mqy6/
4,The Reeve,"4600 Lake Road Ave, Robbinsdale, MN 55422","$1,225 - 2,764",Studio - 3 Beds,https://www.apartments.com/ratio-columbia-heights-mn/b5317s9/
5,Solhaus Apartments,"2428 Delaware St, Minneapolis, MN 55414","$965 - 2,180",1-2 Beds,https://www.apartments.com/ratio-columbia-heights-mn/b5317s9/
6,365 Nicollet,"365 Nicollet Mall, Minneapolis, MN 55401","$1,292 - 10,779",Studio - 3 Beds,https://www.apartments.com/ratio-columbia-heights-mn/b5317s9/
7,Arcata Apartments,"901 Xenia Ave S, Minneapolis, MN 55416","$1,590 - 2,725",Studio - 2 Beds,https://www.apartments.com/ratio-columbia-heights-mn/b5317s9/
8,Track 29 City Apartments,"2841 Bryant Ave S, Minneapolis, MN 55408","$1,178 - 3,139",Studio - 2 Beds,https://www.apartments.com/moda-on-raymond-saint-paul-mn/mpxsf1j/
9,LPM,"1369 Spruce Pl, Minneapolis, MN 55403","$1,209 - 6,025",Studio - 3 Beds,https://www.apartments.com/moda-on-raymond-saint-paul-mn/mpxsf1j/
10,Minneapolis Grand Apartments,"2401 Chicago Ave, Minneapolis, MN 55404","$1,050 - 1,670",Studio - 2 Beds,https://www.apartments.com/moda-on-raymond-saint-paul-mn/mpxsf1j/
